# index, name, _pos
0,1,"array([-0.86872814,  1.46412645])"
1,2,"array([-0.89174595,  1.4720367 ])"
2,358,"array([-0.89297361,  1.48169169])"
3,1820,"array([-0.87456522,  1.49421331])"
4,5379,"array([-0.84709242,  1.43518984])"
5,3,"array([-0.94274541,  1.44571993])"
6,6,"array([-0.88020031,  1.48001513])"
7,13,"array([-0.88894986,  1.46706888])"
8,15,"array([-0.88687398,  1.47420758])"
9,16,"array([-0.90280286,  1.48514574])"
10,17,"array([-0.89896193,  1.48329894])"
11,22,"array([-0.89059249,  1.48385668])"
12,26,"array([-0.90172464,  1.47580034])"
13,28,"array([-0.8897354 ,  1.47446511])"
14,30,"array([-0.88943961,  1.47311232])"
15,34,"array([-0.88749466,  1.47480771])"
16,41,"array([-0.89772988,  1.4810663 ])"
17,45,"array([-0.90328353,  1.48235158])"
18,46,"array([-0.89259505,  1.47844523])"
19,47,"array([-0.90048789,  1.4728161 ])"
20,50,"array([-0.8946478 ,  1.48145979])"
21,61,"array([-0.9024194 ,  1.47528839])"
22,64,"array([-0.91219771,  1.4724808 ])"
23,66,"array([-0.89422033,  1.47568449])"
24,68,"array([-0.89075992,  1.47565726])"
25,72,"array([-0.89463278,  1.4788987 ])"
26,75,"array([-0.89143164,  1.46269766])"
27,89,"array([-0.90065481,  1.47524676])"
28,104,"array([-0.88460519,  1.48346123])"
29,107,"array([-0.88449432,  1.49248248])"
30,109,"array([-0.90299659,  1.4832669 ])"
31,123,"array([-0.90896921,  1.47079222])"
32,124,"array([-0.89490208,  1.47361012])"
33,125,"array([-0.89365953,  1.4813543 ])"
34,129,"array([-0.88143212,  1.47015538])"
35,141,"array([-0.89082048,  1.46335305])"
36,147,"array([-0.89096806,  1.46671887])"
37,149,"array([-0.8924911,  1.4703948])"
38,170,"array([-0.88992883,  1.48307772])"
39,173,"array([-0.89052413,  1.47953947])"
40,190,"array([-0.89247121,  1.47954983])"
41,197,"array([-0.8958437,  1.4787463])"
42,205,"array([-0.89482032,  1.48631775])"
43,208,"array([-0.88958307,  1.47611462])"
44,211,"array([-0.89638862,  1.48552602])"
45,235,"array([-0.90468568,  1.48840684])"
46,236,"array([-0.8858705 ,  1.48057285])"
47,245,"array([-0.89828174,  1.47214485])"
48,256,"array([-0.89179991,  1.47429623])"
49,257,"array([-0.89454085,  1.47635828])"
50,260,"array([-0.90157458,  1.47373985])"
51,271,"array([-0.88081579,  1.47728967])"
52,274,"array([-0.90334958,  1.47531911])"
53,275,"array([-0.89962028,  1.47208445])"
54,280,"array([-0.89064092,  1.49341491])"
55,286,"array([-0.88973784,  1.46795192])"
56,288,"array([-0.9006223 ,  1.48199821])"
57,290,"array([-0.88696183,  1.47539515])"
58,291,"array([-0.88857654,  1.47888491])"
59,315,"array([-0.89646509,  1.46964505])"
60,322,"array([-0.88289978,  1.48717379])"
61,324,"array([-0.89601001,  1.47942554])"
62,328,"array([-0.89151038,  1.47127762])"
63,340,"array([-0.89476368,  1.48011944])"
64,348,"array([-0.88455078,  1.48041019])"
65,351,"array([-0.89549836,  1.48565707])"
66,360,"array([-0.90342453,  1.4860489 ])"
67,369,"array([-0.89812047,  1.46147217])"
68,394,"array([-0.88701267,  1.49144122])"
69,413,"array([-0.8926965 ,  1.48453523])"
70,415,"array([-0.88298466,  1.48199693])"
71,434,"array([-0.90318989,  1.47933783])"
72,449,"array([-0.89899821,  1.48215524])"
73,451,"array([-0.89480912,  1.46994282])"
74,457,"array([-0.89531923,  1.48080795])"
75,475,"array([-0.89396273,  1.47030692])"
76,491,"array([-0.88827011,  1.44572141])"
77,497,"array([-0.88758429,  1.48015791])"
78,500,"array([-0.88908416,  1.48253765])"
79,507,"array([-0.89002606,  1.47038158])"
80,513,"array([-0.90488665,  1.4813303 ])"
81,517,"array([-0.89699809,  1.48466727])"
82,533,"array([-0.88720673,  1.45983799])"
83,534,"array([-0.89801381,  1.47118998])"
84,565,"array([-0.88537947,  1.46373964])"
85,571,"array([-0.89976196,  1.46422273])"
86,573,"array([-0.89802737,  1.47744566])"
87,595,"array([-0.88575451,  1.48345323])"
88,597,"array([-0.89203223,  1.48402718])"
89,609,"array([-0.89072718,  1.47859233])"
90,627,"array([-0.89904044,  1.47536606])"
91,685,"array([-0.89303499,  1.4876318 ])"
92,753,"array([-0.86468424,  1.47758816])"
93,774,"array([-0.8599297,  1.4728158])"
94,783,"array([-0.88232922,  1.47242222])"
95,844,"array([-0.89625115,  1.48103472])"
96,857,"array([-0.90271331,  1.48706991])"
97,932,"array([-0.89680252,  1.47251493])"
98,945,"array([-0.8744989 ,  1.48355454])"
99,957,"array([-0.8932923 ,  1.45932679])"
100,964,"array([-0.89114557,  1.48326201])"
101,970,"array([-0.88645096,  1.47047916])"
102,980,"array([-0.88610962,  1.47491521])"
103,981,"array([-0.87950922,  1.48413593])"
104,1041,"array([-0.89897351,  1.46566634])"
105,1052,"array([-0.89718624,  1.47571827])"
106,1055,"array([-0.87774138,  1.48161326])"
107,1063,"array([-0.90175067,  1.47677651])"
108,1068,"array([-0.8966937 ,  1.46585372])"
109,1081,"array([-0.86927703,  1.50012943])"
110,1193,"array([-0.86375623,  1.4615127 ])"
111,1205,"array([-0.90009772,  1.48650096])"
112,1245,"array([-0.88508012,  1.47368447])"
113,1254,"array([-0.89817639,  1.48979405])"
114,1260,"array([-0.88151283,  1.4713871 ])"
115,1286,"array([-0.88331   ,  1.44575728])"
116,1341,"array([-0.89132297,  1.4847934 ])"
117,1358,"array([-0.89895134,  1.48759951])"
118,1426,"array([-0.89333705,  1.48894664])"
119,1542,"array([-0.86807612,  1.41644819])"
120,1558,"array([-0.88198822,  1.47555972])"
