# index, name, _pos
0,1,"array([ 2.81863683, -0.90479499])"
1,2,"array([ 2.84731236, -0.90772268])"
2,5,"array([ 2.85596792, -0.88338061])"
3,7,"array([ 2.76090148, -0.94837333])"
4,30,"array([ 2.74948717, -0.92679282])"
5,39,"array([ 2.78864407, -0.94717748])"
6,50,"array([ 2.84089288, -0.84959863])"
7,85,"array([ 2.78715752, -0.91734906])"
8,179,"array([ 2.81424504, -0.95395018])"
9,186,"array([ 2.78206391, -0.95800848])"
10,213,"array([ 2.81411004, -0.96210989])"
11,222,"array([ 2.80770274, -0.8807425 ])"
12,224,"array([ 2.84270453, -0.8919915 ])"
13,250,"array([ 2.83361829, -0.93493617])"
14,253,"array([ 2.82273034, -0.90300996])"
15,472,"array([ 2.77610604, -0.96068841])"
16,571,"array([ 2.82337903, -0.88545672])"
17,1388,"array([ 2.82194022, -0.88388696])"
18,1465,"array([ 2.84982459, -0.88294585])"
19,2443,"array([ 2.91745994, -0.94069327])"
20,2472,"array([ 2.79423522, -0.89180039])"
21,3442,"array([ 2.83257277, -0.90413858])"
22,4554,"array([ 2.80362604, -0.92903075])"
23,3,"array([ 2.79925197, -0.93475383])"
24,14,"array([ 2.79676213, -0.91333163])"
25,70,"array([ 2.82760754, -0.90217296])"
26,82,"array([ 2.79217245, -0.89507789])"
27,83,"array([ 2.80310483, -0.92125484])"
28,88,"array([ 2.78831088, -0.88816438])"
29,91,"array([ 2.83648044, -0.91102853])"
30,181,"array([ 2.83481375, -0.96521251])"
31,204,"array([ 2.8013321 , -0.92430568])"
32,205,"array([ 2.82044451, -0.9030995 ])"
33,217,"array([ 2.90012111, -0.95243518])"
34,251,"array([ 2.8786227 , -0.93377078])"
35,262,"array([ 2.85910543, -0.94674059])"
36,291,"array([ 2.81653866, -0.9291223 ])"
37,294,"array([ 2.88840547, -0.92773748])"
38,305,"array([ 2.79655059, -0.90571443])"
39,313,"array([ 2.79540543, -0.91426467])"
40,316,"array([ 2.94168981, -0.88281911])"
41,355,"array([ 2.79798604, -0.9031082 ])"
42,386,"array([ 2.79596023, -0.93817845])"
43,387,"array([ 2.79709953, -0.93434037])"
44,407,"array([ 2.83006016, -0.91007329])"
45,432,"array([ 2.80636786, -0.9169484 ])"
46,439,"array([ 2.848413 , -0.9721215])"
47,509,"array([ 2.89176978, -0.92718722])"
48,515,"array([ 2.91055357, -0.93864137])"
49,516,"array([ 2.95113201, -0.92201099])"
50,537,"array([ 2.90389813, -0.85635485])"
51,544,"array([ 2.82786624, -0.92597949])"
52,547,"array([ 2.82408878, -0.86577018])"
53,566,"array([ 2.94400784, -0.88576368])"
54,580,"array([ 2.82882476, -0.9684109 ])"
55,585,"array([ 2.76368519, -0.86901117])"
56,660,"array([ 2.779757 , -0.8770437])"
57,684,"array([ 2.78559411, -0.89232044])"
58,695,"array([ 2.83255775, -0.93870005])"
59,783,"array([ 2.82235511, -0.91449885])"
60,789,"array([ 2.85486281, -0.93553846])"
61,871,"array([ 2.8580703 , -0.87968081])"
62,876,"array([ 2.8303357 , -0.93652889])"
63,880,"array([ 2.81863685, -0.88789997])"
64,885,"array([ 2.8292473 , -0.91814595])"
65,889,"array([ 2.84292032, -0.94374706])"
66,904,"array([ 2.90861291, -0.88590855])"
67,930,"array([ 2.80155941, -0.92953803])"
68,994,"array([ 2.77185115, -0.86293959])"
69,998,"array([ 2.8406001 , -0.93549825])"
70,999,"array([ 2.80967836, -0.97020985])"
71,1002,"array([ 2.81266661, -0.9310026 ])"
72,1009,"array([ 2.79745317, -0.87304331])"
73,1020,"array([ 2.77172807, -0.88195005])"
74,1042,"array([ 2.81887638, -0.90144309])"
75,1062,"array([ 2.84563267, -0.98579645])"
76,1078,"array([ 2.83598342, -0.9322769 ])"
77,1087,"array([ 2.78071332, -0.8591018 ])"
78,1093,"array([ 2.81768359, -0.91720674])"
79,1111,"array([ 2.81165174, -0.9629132 ])"
80,1119,"array([ 2.8890321 , -0.91017733])"
81,1123,"array([ 2.90074277, -0.99269386])"
82,1126,"array([ 2.80912089, -0.92666737])"
