# index, name, _pos
0,2,"array([ 1.67003796, -0.35999912])"
1,3,"array([ 1.6530832 , -0.41781286])"
2,4,"array([ 1.67684813, -0.43340751])"
3,5,"array([ 1.66852647, -0.43763662])"
4,9,"array([ 1.6483958 , -0.42350425])"
5,10,"array([ 1.66327115, -0.41424017])"
6,15,"array([ 1.67805531, -0.41023022])"
7,17,"array([ 1.6422687 , -0.41669677])"
8,19,"array([ 1.64018131, -0.42395923])"
9,27,"array([ 1.63244394, -0.43104544])"
10,38,"array([ 1.63113146, -0.42670327])"
11,40,"array([ 1.65019268, -0.40959469])"
12,41,"array([ 1.66448947, -0.43244679])"
13,42,"array([ 1.68445225, -0.412958  ])"
14,47,"array([ 1.66424427, -0.40849345])"
15,58,"array([ 1.66007611, -0.42269597])"
16,71,"array([ 1.66065643, -0.4291101 ])"
17,80,"array([ 1.63189694, -0.43350871])"
18,82,"array([ 1.65636611, -0.42020732])"
19,95,"array([ 1.65822238, -0.41271053])"
20,97,"array([ 1.65509806, -0.41244177])"
21,102,"array([ 1.64412435, -0.42817061])"
22,122,"array([ 1.64725607, -0.42454868])"
23,144,"array([ 1.64344247, -0.41877722])"
24,167,"array([ 1.62625965, -0.4102519 ])"
25,186,"array([ 1.66613254, -0.42528001])"
26,187,"array([ 1.6589711 , -0.42414148])"
27,229,"array([ 1.64393939, -0.39943096])"
28,236,"array([ 1.65940331, -0.42781622])"
29,268,"array([ 1.67182393, -0.4352416 ])"
30,277,"array([ 1.63977401, -0.42657508])"
31,281,"array([ 1.66624839, -0.44765657])"
32,310,"array([ 1.69443498, -0.41419333])"
33,311,"array([ 1.61901612, -0.43943596])"
34,325,"array([ 1.63608745, -0.41052999])"
35,333,"array([ 1.64778506, -0.42619467])"
36,407,"array([ 1.67982935, -0.42165204])"
37,442,"array([ 1.66917366, -0.42479858])"
38,457,"array([ 1.65667187, -0.41434342])"
39,485,"array([ 1.6434897, -0.4145592])"
40,495,"array([ 1.66516791, -0.4513206 ])"
41,514,"array([ 1.6623025 , -0.40536571])"
42,519,"array([ 1.65765034, -0.43518728])"
43,531,"array([ 1.65330353, -0.42639517])"
44,532,"array([ 1.63677221, -0.42072852])"
45,561,"array([ 1.62826421, -0.41523889])"
46,589,"array([ 1.65375604, -0.37978921])"
47,594,"array([ 1.69050528, -0.42252187])"
48,606,"array([ 1.68602192, -0.41772616])"
49,608,"array([ 1.69052669, -0.40020799])"
50,627,"array([ 1.66106351, -0.40241012])"
51,639,"array([ 1.65336574, -0.40960069])"
52,653,"array([ 1.66864296, -0.43187629])"
53,654,"array([ 1.6520175 , -0.42447737])"
54,670,"array([ 1.6708295 , -0.41799159])"
55,674,"array([ 1.69952633, -0.41475448])"
56,685,"array([ 1.64091782, -0.38509554])"
57,715,"array([ 1.66015086, -0.41870402])"
58,720,"array([ 1.66593845, -0.41168098])"
59,767,"array([ 1.67709091, -0.39676938])"
60,782,"array([ 1.65044258, -0.39074874])"
61,806,"array([ 1.63436302, -0.37847011])"
62,816,"array([ 1.63782488, -0.41539047])"
63,819,"array([ 1.63603941, -0.35935971])"
64,827,"array([ 1.62939262, -0.45781209])"
65,915,"array([ 1.69450922, -0.41141385])"
66,918,"array([ 1.64516134, -0.4253465 ])"
67,1017,"array([ 1.66556178, -0.42750535])"
68,1027,"array([ 1.66391213, -0.40649104])"
69,1037,"array([ 1.60848928, -0.41210486])"
70,1049,"array([ 1.61494211, -0.4097188 ])"
71,1148,"array([ 1.67017941, -0.41445113])"
72,1196,"array([ 1.60276666, -0.45462122])"
73,1208,"array([ 1.66215646, -0.39537731])"
74,1230,"array([ 1.69523609, -0.37716348])"
75,1303,"array([ 1.61356371, -0.40188359])"
76,1306,"array([ 1.6209439 , -0.37583472])"
77,1308,"array([ 1.66806788, -0.42055021])"
78,1373,"array([ 1.60411752, -0.43108561])"
79,1473,"array([ 1.64743636, -0.40052267])"
80,1474,"array([ 1.6657296 , -0.39329009])"
81,1529,"array([ 1.61715792, -0.43737165])"
82,1784,"array([ 1.61845198, -0.40829859])"
83,1804,"array([ 1.70746971, -0.41286581])"
84,1863,"array([ 1.70059808, -0.40353871])"
85,1924,"array([ 1.68847898, -0.44737841])"
86,1945,"array([ 1.63931949, -0.38360089])"
87,1947,"array([ 1.70601903, -0.40236009])"
88,1970,"array([ 1.66389847, -0.44364258])"
89,1973,"array([ 1.62248759, -0.453451  ])"
90,1994,"array([ 1.69714965, -0.40835805])"
91,2038,"array([ 1.63994582, -0.45455596])"
92,2054,"array([ 1.70282556, -0.3977989 ])"
93,2075,"array([ 1.67681457, -0.447803  ])"
94,2191,"array([ 1.60574861, -0.41943335])"
95,2441,"array([ 1.6971264 , -0.42072549])"
96,2486,"array([ 1.69973669, -0.39028512])"
97,2675,"array([ 1.69109949, -0.39766818])"
98,2773,"array([ 1.68625749, -0.3793586 ])"
99,2856,"array([ 1.68756415, -0.40600873])"
100,2928,"array([ 1.61243221, -0.42315795])"
101,2937,"array([ 1.61157835, -0.38657043])"
102,3111,"array([ 1.61531136, -0.41931751])"
103,3123,"array([ 1.6260154 , -0.44774455])"
104,31,"array([ 1.63435942, -0.42460525])"
105,121,"array([ 1.66295659, -0.44149213])"
106,288,"array([ 1.64664357, -0.42253554])"
107,814,"array([ 1.64549357, -0.433277  ])"
108,1555,"array([ 1.71390194, -0.45649034])"
109,2125,"array([ 1.70892866, -0.46213159])"
110,2296,"array([ 1.65471735, -0.43943305])"
111,7,"array([ 1.64560883, -0.46516805])"
112,13,"array([ 1.62852192, -0.42859616])"
113,22,"array([ 1.67830428, -0.42709627])"
114,32,"array([ 1.66164446, -0.41517227])"
115,44,"array([ 1.66598872, -0.40533318])"
116,52,"array([ 1.63845214, -0.44322135])"
117,63,"array([ 1.63957993, -0.44127788])"
118,64,"array([ 1.6286991, -0.4100279])"
119,74,"array([ 1.66159917, -0.43581039])"
120,78,"array([ 1.65102674, -0.42770913])"
121,99,"array([ 1.6421642 , -0.42927467])"
122,105,"array([ 1.67273148, -0.42506645])"
123,115,"array([ 1.65025739, -0.44698203])"
124,120,"array([ 1.68332354, -0.44008361])"
