# index, name, _pos
0,1,"array([4.19861912, 0.961121  ])"
1,2,"array([4.20207843, 0.95118751])"
2,3,"array([4.19912087, 0.9559272 ])"
3,4,"array([4.18846482, 0.96509755])"
4,8,"array([4.19198647, 0.96034129])"
5,11,"array([4.20100601, 0.9660342 ])"
6,14,"array([4.1969524 , 0.96181213])"
7,15,"array([4.19391295, 0.96541115])"
8,19,"array([4.19677868, 0.96297338])"
9,20,"array([4.19468364, 0.96067245])"
10,22,"array([4.19861596, 0.96340636])"
11,24,"array([4.19970626, 0.96760247])"
12,25,"array([4.20938228, 0.96817668])"
13,26,"array([4.19796109, 0.9516296 ])"
14,35,"array([4.19337923, 0.95907788])"
15,37,"array([4.19247905, 0.95437902])"
16,38,"array([4.19510921, 0.96222186])"
17,40,"array([4.21481434, 0.97530778])"
18,42,"array([4.20448951, 0.95938377])"
19,49,"array([4.19828045, 0.96128681])"
20,56,"array([4.19455503, 0.96405398])"
21,58,"array([4.20044243, 0.96573252])"
22,66,"array([4.19976058, 0.96431388])"
23,68,"array([4.1923385 , 0.96464364])"
24,69,"array([4.20591557, 0.95851075])"
25,71,"array([4.20313865, 0.96344743])"
26,74,"array([4.19223256, 0.9611072 ])"
27,76,"array([4.19956245, 0.95929971])"
28,80,"array([4.2004192 , 0.96181268])"
29,83,"array([4.19569374, 0.96885118])"
30,86,"array([4.20197713, 0.96181389])"
31,87,"array([4.19327414, 0.9651068 ])"
32,92,"array([4.20003916, 0.97151558])"
33,94,"array([4.1965877 , 0.96177246])"
34,99,"array([4.1953779 , 0.96001465])"
35,102,"array([4.1950971 , 0.96277094])"
36,114,"array([4.19620347, 0.96361754])"
37,120,"array([4.19863005, 0.96445689])"
38,121,"array([4.19304369, 0.96474983])"
39,125,"array([4.19352609, 0.9613274 ])"
40,128,"array([4.20027699, 0.9629323 ])"
41,129,"array([4.19090659, 0.96438742])"
42,132,"array([4.19368919, 0.96252581])"
43,133,"array([4.19583091, 0.96394187])"
44,138,"array([4.19402169, 0.96151629])"
45,142,"array([4.19771161, 0.95883704])"
46,146,"array([4.1977828 , 0.96577105])"
47,147,"array([4.20095974, 0.96707886])"
48,148,"array([4.19789834, 0.96554074])"
49,149,"array([4.19651918, 0.96057486])"
50,152,"array([4.19566215, 0.96451372])"
51,154,"array([4.19777754, 0.95764041])"
52,156,"array([4.19762877, 0.96072   ])"
53,157,"array([4.19905305, 0.96320197])"
54,160,"array([4.19589836, 0.96591472])"
55,162,"array([4.19619338, 0.96390784])"
